Date,Region,Max_Temp,Min_Temp,Rainfall,Price
2015-01-07,Madikeri,25.7,16,0,70000
2015-01-08,Madikeri,25.2,15.6,0,70000
2015-01-09,Madikeri,26.9,14.1,0,70000
2015-01-10,Madikeri,27.1,13.5,0,70000
2015-01-11,Madikeri,27,12.5,0,70000
2015-01-12,Madikeri,26.4,12.2,0,70000
2015-01-13,Madikeri,26.5,11.4,0,70000
2015-01-14,Madikeri,25.7,11.2,0,70000
2015-01-15,Madikeri,26.2,11,0,70000
2015-01-16,Madikeri,26.4,11.9,0,70000
2015-01-17,Madikeri,26.7,13.6,0,70000
2015-01-18,Madikeri,27.4,14.5,0,70000
2015-01-19,Madikeri,27.3,14.6,0,70000
2015-01-20,Madikeri,25.5,16.1,0,70000
2015-01-21,Madikeri,26.3,15.9,0,70000
2015-01-22,Madikeri,24.6,13.8,0,70000
2015-01-23,Madikeri,26.7,12.5,0,70000
2015-01-24,Madikeri,25.4,12.9,0,70000
2015-01-25,Madikeri,27.1,15,0,70000
2015-01-26,Madikeri,27.5,13.9,0,70000
2015-01-27,Madikeri,27.4,13.2,0,70000
2015-01-28,Madikeri,27.3,13.7,0,70000
2015-01-29,Madikeri,27.2,14.8,0,70000
2015-01-30,Madikeri,27.3,15.8,0,70000
2015-01-31,Madikeri,28.5,15.4,0,70000
2015-02-01,Madikeri,27.9,14.4,0,70000
2015-02-02,Madikeri,27.6,14.8,0,70000
2015-02-03,Madikeri,27.6,13.9,0,70000
2015-02-04,Madikeri,27.5,14.6,0,65000
2015-02-05,Madikeri,28,15.3,0,65000
2015-02-06,Madikeri,28.5,16,0,65000
2015-02-07,Madikeri,27.5,15.8,0,65000
2015-02-08,Madikeri,26.1,16.3,0.3,65000
2015-02-09,Madikeri,28.7,14.8,0,65000
2015-02-10,Madikeri,28.4,14.2,0,65000
2015-02-11,Madikeri,28.6,13.6,0,65000
2015-02-12,Madikeri,28.3,14.1,0,65000
2015-02-13,Madikeri,28.2,13.5,0,65000
2015-02-14,Madikeri,29.6,14,0,65000
2015-02-15,Madikeri,29.8,14.2,0,65000
2015-02-16,Madikeri,30.1,16.6,0,65000
2015-02-17,Madikeri,29.4,16,0,65000
2015-02-18,Madikeri,29.5,15.8,0,65000
2015-02-19,Madikeri,27.9,17.8,0,65000
2015-02-20,Madikeri,29.1,16.3,0,65000
2015-02-21,Madikeri,29.1,15.2,0,65000
2015-02-22,Madikeri,29,14.2,0,65000
2015-02-23,Madikeri,29.1,13.6,0,65000
2015-02-24,Madikeri,29.5,12.8,0,65000
2015-02-25,Madikeri,28.8,13.8,0,65000
2015-02-26,Madikeri,29.2,15.7,0,65000
2015-02-27,Madikeri,28.7,15.5,0.2,40000
2015-02-28,Madikeri,28,15,0.1,40000
2015-03-01,Madikeri,26.3,15.5,0.1,40000
2015-03-02,Madikeri,26.4,17.6,0.2,40000
2015-03-03,Madikeri,26.8,16.4,0.6,40000
2015-03-04,Madikeri,26.6,15.8,0.6,35000
2015-03-05,Madikeri,28.6,15,1,36000
2015-03-06,Madikeri,28.1,17.7,1.4,47000
2015-03-07,Madikeri,27.3,17.6,0.8,35000
2015-03-08,Madikeri,26.2,17.5,5.3,35000
2015-03-09,Madikeri,25.9,15.3,0,35000
2015-03-10,Madikeri,28.5,15.9,0,40000
2015-03-11,Madikeri,28.9,14.7,0,35000
2015-03-12,Madikeri,29.4,15.5,0,35000
2015-03-13,Madikeri,29.6,15.6,0,35000
2015-03-14,Madikeri,27.5,17,0,35000
2015-03-15,Madikeri,27.2,19.1,3.6,35000
2015-03-16,Madikeri,26,18.6,2.8,40000
2015-03-17,Madikeri,27.9,19.1,0,51000
2015-03-18,Madikeri,27.8,19.5,0,35000
2015-03-19,Madikeri,29.7,18.7,0,50000
2015-03-20,Madikeri,30.9,17.8,0,35000
2015-03-21,Madikeri,31.2,18.2,0,35000
2015-03-22,Madikeri,31.6,17.3,0,35000
2015-03-23,Madikeri,29.4,18.3,0,48000
2015-03-24,Madikeri,29.5,19.9,0,48000
2015-03-25,Madikeri,28.6,18.4,0,48000
2015-03-26,Madikeri,30,19.1,0,50000
2015-03-27,Madikeri,29.7,19.3,0,45000
2015-03-28,Madikeri,29.2,19.1,0,39000
2015-03-29,Madikeri,29.9,19.2,0,39000
2015-03-30,Madikeri,28.5,19.6,0,50000
2015-03-31,Madikeri,26.5,18.7,6.2,35000
2015-04-01,Madikeri,26.8,17.6,4.2,35000
2015-04-02,Madikeri,27.5,17.1,0.5,35000
2015-04-03,Madikeri,27.2,18.9,2.1,35000
2015-04-04,Madikeri,30.1,18.4,0,50000
2015-04-05,Madikeri,31.5,18.8,0,50000
2015-04-06,Madikeri,28.1,19.4,0.5,50000
2015-04-07,Madikeri,28.2,20.2,0.1,50000
2015-04-08,Madikeri,27.5,19.8,1.1,50000
2015-04-09,Madikeri,27.7,20,0,53900
2015-04-10,Madikeri,28.2,20,3.5,53900
2015-04-11,Madikeri,25.1,19.8,8.3,53900
2015-04-12,Madikeri,27.3,18.6,5.4,53900
2015-04-13,Madikeri,25.1,17.8,16.5,50000
2015-04-14,Madikeri,25,17.4,7.4,50000
2015-04-15,Madikeri,25.3,17.8,1,35000
2015-04-16,Madikeri,26.3,18.7,0.2,35000
2015-04-17,Madikeri,27.5,18,0,35000
2015-04-18,Madikeri,25.2,18.2,0.5,50000
2015-04-19,Madikeri,27.9,18.5,0,50000
2015-04-20,Madikeri,27.7,19.8,0,50000
2015-04-21,Madikeri,26,18.5,1.4,50000
2015-04-22,Madikeri,26.9,19,1.1,38271
2015-04-23,Madikeri,25.4,19.1,5.1,38271
2015-04-24,Madikeri,27.4,19.1,5.7,52000
2015-04-25,Madikeri,26.3,19.2,2.8,53500
2015-04-26,Madikeri,26.1,18.3,3,53500
2015-04-27,Madikeri,28,19.1,0.1,40000
2015-04-28,Madikeri,28.4,19.9,0,54300
2015-04-29,Madikeri,29,19.3,0,54300
2015-04-30,Madikeri,27.8,19.7,10,54300
2015-05-01,Madikeri,28.9,19.5,0,54300
2015-05-02,Madikeri,27.1,20.5,5.5,54000
2015-05-03,Madikeri,26.5,19.8,5.2,54000
2015-05-04,Madikeri,26,18.3,4.4,54000
