Date,Region,Max_Temp,Min_Temp,Rainfall,Price
2015-01-08,Chikkamagaluru,26.8,16.3,0,73570
2015-01-09,Chikkamagaluru,26.5,15.1,0,73570
2015-01-10,Chikkamagaluru,26.8,14.3,0,73570
2015-01-11,Chikkamagaluru,26.4,12.7,0,73570
2015-01-12,Chikkamagaluru,26,11.4,0,73570
2015-01-13,Chikkamagaluru,26.4,11.3,0,73570
2015-01-14,Chikkamagaluru,26.3,10.8,0,73570
2015-01-15,Chikkamagaluru,26.4,11,0,73570
2015-01-16,Chikkamagaluru,26.4,12.2,0,73570
2015-01-17,Chikkamagaluru,26.4,13.2,0,77700
2015-01-18,Chikkamagaluru,28.2,14.6,0,77700
2015-01-19,Chikkamagaluru,28.2,14.5,0,118800
2015-01-20,Chikkamagaluru,27.2,15.3,0,51092
2015-01-21,Chikkamagaluru,26.8,16.2,0,77800
2015-01-22,Chikkamagaluru,26.1,15.9,0,77800
2015-01-23,Chikkamagaluru,26.9,13.7,0,77800
2015-01-24,Chikkamagaluru,25.9,14.4,0,77800
2015-01-25,Chikkamagaluru,27,15.9,0,77800
2015-01-26,Chikkamagaluru,27.5,13.9,0,77800
2015-01-27,Chikkamagaluru,27.2,13,0,77800
2015-01-28,Chikkamagaluru,27.5,13.6,0,77800
2015-01-29,Chikkamagaluru,28.3,15.6,0,77800
2015-01-30,Chikkamagaluru,27.7,15.9,0,50166
2015-01-31,Chikkamagaluru,28.1,15.3,0,50166
2015-02-01,Chikkamagaluru,28,14.4,0,50166
2015-02-02,Chikkamagaluru,27.5,14.6,0,50166
2015-02-03,Chikkamagaluru,27,13.5,0,50166
2015-02-04,Chikkamagaluru,26.9,13.3,0,50166
2015-02-05,Chikkamagaluru,27.6,13.8,0,50166
2015-02-06,Chikkamagaluru,28.8,15.4,0,84500
2015-02-07,Chikkamagaluru,28.9,14.5,0.1,84500
2015-02-08,Chikkamagaluru,27.6,16.2,0,84500
2015-02-09,Chikkamagaluru,29.4,15.3,0,84500
2015-02-10,Chikkamagaluru,28.4,14.4,0,84500
2015-02-11,Chikkamagaluru,28.3,13.4,0,84500
2015-02-12,Chikkamagaluru,28.6,13.5,0,74484
2015-02-13,Chikkamagaluru,28.9,14.9,0,74484
2015-02-14,Chikkamagaluru,29.8,17.2,0,74484
2015-02-15,Chikkamagaluru,29.9,15.1,0,74484
2015-02-16,Chikkamagaluru,29.8,14.9,0,74484
2015-02-17,Chikkamagaluru,29.9,14.5,0,74484
2015-02-18,Chikkamagaluru,30.2,14,0,66495
2015-02-19,Chikkamagaluru,29.6,17.6,0,66495
2015-02-20,Chikkamagaluru,29.5,15.9,0,65720
2015-02-21,Chikkamagaluru,29.2,14.7,0,66800
2015-02-22,Chikkamagaluru,28.9,14.7,0,66800
2015-02-23,Chikkamagaluru,28.8,14.1,0,66800
2015-02-24,Chikkamagaluru,29.1,13.4,0,30685
2015-02-25,Chikkamagaluru,30.3,12.9,0,72704
2015-02-26,Chikkamagaluru,30.8,16.5,0,72704
2015-02-27,Chikkamagaluru,30.3,16.5,0,48080
2015-02-28,Chikkamagaluru,29.9,16.5,0.2,50096
2015-03-01,Chikkamagaluru,28.1,16.9,0.9,50096
2015-03-02,Chikkamagaluru,28.6,17.7,0.2,50096
2015-03-03,Chikkamagaluru,29.2,17.3,0,34782
2015-03-04,Chikkamagaluru,28.6,17.8,0.1,60406
2015-03-05,Chikkamagaluru,30.2,17.7,0,60406
2015-03-06,Chikkamagaluru,29.3,18.8,2.2,60406
2015-03-07,Chikkamagaluru,28.8,18.1,0.8,48303
2015-03-08,Chikkamagaluru,27.4,18.5,17.8,48303
2015-03-09,Chikkamagaluru,27.4,18.1,5.5,48303
2015-03-10,Chikkamagaluru,29.2,16.9,0,63500
2015-03-11,Chikkamagaluru,29.5,15.8,0,63500
2015-03-12,Chikkamagaluru,30.3,15.6,0,48500
2015-03-13,Chikkamagaluru,30.9,16.7,0,75957
2015-03-14,Chikkamagaluru,30.4,16.5,0,75957
2015-03-15,Chikkamagaluru,29.4,19.6,4.2,75957
2015-03-16,Chikkamagaluru,28.6,19.4,8.7,43177
2015-03-17,Chikkamagaluru,30.7,19.5,0,50000
2015-03-18,Chikkamagaluru,31.1,20.1,0,54926
2015-03-19,Chikkamagaluru,31.8,20.2,0,48000
2015-03-20,Chikkamagaluru,32.7,19.2,0,50016
2015-03-21,Chikkamagaluru,32.6,17.4,0,50016
2015-03-22,Chikkamagaluru,33.2,17,0,50016
2015-03-23,Chikkamagaluru,32.8,19.4,0,51647
2015-03-24,Chikkamagaluru,32.5,20.2,0,51647
2015-03-25,Chikkamagaluru,32.4,19.6,0,51647
2015-03-26,Chikkamagaluru,33.2,21.2,0,60300
2015-03-27,Chikkamagaluru,32.5,19.5,0,60300
2015-03-28,Chikkamagaluru,32.8,18.5,0,60300
2015-03-29,Chikkamagaluru,33.1,20.8,0.3,60300
2015-03-30,Chikkamagaluru,30.8,21.5,1.1,60300
2015-03-31,Chikkamagaluru,29.1,19.9,15.3,54422
2015-04-01,Chikkamagaluru,29.3,19.6,3.4,35918
2015-04-02,Chikkamagaluru,29.6,19.8,1.6,35918
2015-04-03,Chikkamagaluru,30.5,19.3,0,35918
2015-04-04,Chikkamagaluru,32.4,19.2,0,61500
2015-04-05,Chikkamagaluru,33.8,19.7,0,61500
2015-04-06,Chikkamagaluru,32.6,20.4,0.3,50601
2015-04-07,Chikkamagaluru,31.5,20.8,0.6,37979
2015-04-08,Chikkamagaluru,30.1,20.6,5.5,37979
2015-04-09,Chikkamagaluru,30.8,20.4,0.7,49600
2015-04-10,Chikkamagaluru,31.3,20.7,1.7,48550
2015-04-11,Chikkamagaluru,27.3,20.2,9.9,48550
2015-04-12,Chikkamagaluru,28.8,18.8,9.9,48550
2015-04-13,Chikkamagaluru,26.9,18.5,3.1,51737
2015-04-14,Chikkamagaluru,27.1,18.4,1.1,51737
2015-04-15,Chikkamagaluru,28.1,18.8,0,35878
2015-04-16,Chikkamagaluru,29.7,18.9,0,35878
2015-04-17,Chikkamagaluru,30,18.6,0,51294
2015-04-18,Chikkamagaluru,29.3,19.5,0.1,51294
2015-04-19,Chikkamagaluru,31,20.5,0,51294
2015-04-20,Chikkamagaluru,31.7,21.8,0,52325
