Date,Region,Max_Temp,Min_Temp,Rainfall,Price
2015-01-02,Sirsi,26.4,16.8,0,67032
2015-01-03,Sirsi,26.9,15.8,0,67032
2015-01-04,Sirsi,28.6,15.6,0,67032
2015-01-05,Sirsi,28.6,17.6,0,67032
2015-01-06,Sirsi,28.5,17.4,0,64049
2015-01-07,Sirsi,29.8,16.8,0,64699
2015-01-08,Sirsi,29.7,16,0,64699
2015-01-09,Sirsi,29.4,16.3,0,65460
2015-01-10,Sirsi,29.1,15.7,0,65460
2015-01-11,Sirsi,28.9,15.2,0,65460
2015-01-12,Sirsi,28.5,14.7,0,63899
2015-01-13,Sirsi,29,13.9,0,63362
2015-01-14,Sirsi,28.9,13.2,0,61588
2015-01-15,Sirsi,28.9,13.1,0,61588
2015-01-16,Sirsi,29.1,14.2,0,65043
2015-01-17,Sirsi,29.9,15.2,0,64399
2015-01-18,Sirsi,30.6,16.5,0,64399
2015-01-19,Sirsi,31,16.9,0,58599
2015-01-20,Sirsi,29.7,16.8,0,52282
2015-01-21,Sirsi,29.4,16.9,0,57032
2015-01-22,Sirsi,28.7,16.7,0,48889
2015-01-23,Sirsi,30.3,16.3,0,34090
2015-01-24,Sirsi,30.2,16.8,0,55962
2015-01-25,Sirsi,29.8,18.7,0,55962
2015-01-26,Sirsi,31.2,17.6,0,55962
2015-01-27,Sirsi,30.9,16.7,0,55962
2015-01-28,Sirsi,30.8,17,0,55962
2015-01-29,Sirsi,31.3,17.4,0,56799
2015-01-30,Sirsi,31.4,19.1,0,56799
2015-01-31,Sirsi,31.3,18.1,0,56799
2015-02-01,Sirsi,31.2,18,0,56799
2015-02-02,Sirsi,31.6,18.7,0,56799
2015-02-03,Sirsi,30.2,19.3,0,56799
2015-02-04,Sirsi,30.4,18.4,0,56799
2015-02-05,Sirsi,31.2,18.3,0,51616
2015-02-06,Sirsi,32,17.3,0,57812
2015-02-07,Sirsi,31.6,16.9,0,49899
2015-02-08,Sirsi,31.4,16.5,0,49899
2015-02-09,Sirsi,32.5,17.8,0,56599
2015-02-10,Sirsi,32.3,17.3,0,56599
2015-02-11,Sirsi,31.6,16.2,0,56599
2015-02-12,Sirsi,32.1,16.2,0,56599
2015-02-13,Sirsi,32.6,15.8,0,56599
2015-02-14,Sirsi,33.3,16,0,56599
2015-02-15,Sirsi,33.6,16.9,0,56599
2015-02-16,Sirsi,34.2,17.9,0,56599
2015-02-17,Sirsi,33.3,17,0,56599
2015-02-18,Sirsi,32.9,17,0,56599
2015-02-19,Sirsi,31.7,17.4,0,56599
2015-02-20,Sirsi,32.6,17.6,0,56599
2015-02-21,Sirsi,33.4,18.4,0,56599
2015-02-22,Sirsi,32.9,18.1,0,56599
2015-02-23,Sirsi,32.7,18.1,0,56599
2015-02-24,Sirsi,33.4,16.5,0,57225
2015-02-25,Sirsi,33,16,0,55845
2015-02-26,Sirsi,33.2,17.2,0,55845
2015-02-27,Sirsi,31.8,17.6,0,55845
2015-02-28,Sirsi,30.9,17.8,0,55845
2015-03-01,Sirsi,24,19.5,2.4,55845
2015-03-02,Sirsi,27.9,17.3,0.7,54171
2015-03-03,Sirsi,29.3,16.8,0,54171
2015-03-04,Sirsi,29,15.8,0,53256
2015-03-05,Sirsi,32.6,14.7,0,53256
2015-03-06,Sirsi,33,17.3,0,53256
2015-03-07,Sirsi,33.4,19.6,0,53256
2015-03-08,Sirsi,32,19.8,13.2,53256
2015-03-09,Sirsi,29.8,19.6,20.4,53256
2015-03-10,Sirsi,31.1,19.6,1,51967
2015-03-11,Sirsi,32.2,19,0,55407
2015-03-12,Sirsi,33.3,20,0,52301
2015-03-13,Sirsi,32.4,20.4,0,52301
2015-03-14,Sirsi,30.5,20.9,1.4,52301
2015-03-15,Sirsi,30.1,21.1,3.7,52301
2015-03-16,Sirsi,31.2,20.8,1.7,52301
2015-03-17,Sirsi,33.7,20.8,0,51256
2015-03-18,Sirsi,33.2,20.4,0.1,51256
2015-03-19,Sirsi,32.9,20.5,0,51302
2015-03-20,Sirsi,34.9,20.6,0,51130
2015-03-21,Sirsi,35.1,20.7,0,51130
2015-03-22,Sirsi,35.2,20.8,0,51130
2015-03-23,Sirsi,33.7,20.4,0,51130
2015-03-24,Sirsi,34.5,22.5,0.4,45695
2015-03-25,Sirsi,33.9,23.1,1.3,48875
2015-03-26,Sirsi,33.6,23.3,0.3,50457
2015-03-27,Sirsi,33.4,23,0,49817
2015-03-28,Sirsi,34.4,23.1,0,50176
2015-03-29,Sirsi,33.4,23,0.3,50176
2015-03-30,Sirsi,33.7,23.5,0.8,50176
2015-03-31,Sirsi,29.5,22.1,10,49321
2015-04-01,Sirsi,31.5,22.1,0.5,49321
2015-04-02,Sirsi,32.2,20.9,0.6,49321
2015-04-03,Sirsi,32.5,20.4,0.3,49321
2015-04-04,Sirsi,34.7,19.4,0,49321
2015-04-05,Sirsi,35.5,19.4,0,49321
2015-04-06,Sirsi,35.2,19.4,0,49321
2015-04-07,Sirsi,34.2,21.3,0,49321
2015-04-08,Sirsi,32.4,21.4,1,49321
2015-04-09,Sirsi,32.3,21.4,0.3,49934
2015-04-10,Sirsi,33.8,21.3,0.2,50168
2015-04-11,Sirsi,30.9,21.4,0.9,50959
2015-04-12,Sirsi,32.7,20.8,2.7,50959
2015-04-13,Sirsi,31.6,20,0.3,50555
2015-04-14,Sirsi,32.4,18.8,0,50555
2015-04-15,Sirsi,32.8,17.3,0,52473
2015-04-16,Sirsi,33.6,16.2,0,53806
2015-04-17,Sirsi,32.7,18.9,2.2,53806
2015-04-18,Sirsi,34.2,22.1,0.2,55879
2015-04-19,Sirsi,34.3,21.7,0.1,55879
2015-04-20,Sirsi,34,22.3,0.2,55286
2015-04-21,Sirsi,33.1,23,2.4,55286
2015-04-22,Sirsi,31,23.1,1.8,54013
2015-04-23,Sirsi,29.6,22.9,4.4,54013
2015-04-24,Sirsi,32.1,22.9,3.4,53936
2015-04-25,Sirsi,32.4,20.7,0.3,54277
2015-04-26,Sirsi,32.9,20.7,0.1,54277
2015-04-27,Sirsi,34.5,20,0,54277
2015-04-28,Sirsi,33.4,21.8,0.1,54632
2015-04-29,Sirsi,33.1,23,1,56353
2015-04-30,Sirsi,33.5,22.7,0.1,56353
2015-05-01,Sirsi,33.6,23.1,0.6,56353
2015-05-02,Sirsi,32.6,23,0.8,56353
2015-05-03,Sirsi,33,22.7,0.4,56353
2015-05-04,Sirsi,33.3,23.1,3.1,56353
2015-05-05,Sirsi,32.8,22.1,6.2,56353
2015-05-06,Sirsi,32,21.9,6.3,53940
2015-05-07,Sirsi,31,22.9,2.5,53940
2015-05-08,Sirsi,32.6,22.8,1,53940
2015-05-09,Sirsi,30.6,23.4,0.6,53940
2015-05-10,Sirsi,35.4,23.6,1.7,53940
2015-05-11,Sirsi,32.9,23,3.9,53940
2015-05-12,Sirsi,31.5,22.7,3.7,53124
2015-05-13,Sirsi,31.4,22.5,10.7,54599
2015-05-14,Sirsi,30.8,22.4,5.6,54599
2015-05-15,Sirsi,29.3,22.8,9.3,51613
2015-05-16,Sirsi,28.5,22,16.8,55451
2015-05-17,Sirsi,28.5,21.9,4.6,55451
2015-05-18,Sirsi,27.4,23.4,2.5,55451
2015-05-19,Sirsi,29.6,23,0,52645
2015-05-20,Sirsi,29.6,22.9,0,53906
2015-05-21,Sirsi,29,23.2,0.4,53906
2015-05-22,Sirsi,29.8,23.3,0.1,55938
2015-05-23,Sirsi,30.4,23.1,0.3,52982
2015-05-24,Sirsi,30.8,23.1,0.1,52982
2015-05-25,Sirsi,30.1,22.7,0,52982
2015-05-26,Sirsi,30.5,22.8,0.8,53095
